At_ID,At_Class,At_State,Month,Sales
485,Nurse/Others,FL,9,6
485,Nurse/Others,FL,10,3
485,Nurse/Others,FL,11,4
485,Nurse/Others,FL,12,3
485,Nurse/Others,FL,13,2
485,Nurse/Others,FL,14,3
485,Nurse/Others,FL,15,4
485,Nurse/Others,FL,16,5
485,Nurse/Others,FL,17,4
485,Nurse/Others,FL,18,2
485,Nurse/Others,FL,19,1
485,Nurse/Others,FL,20,6
485,Nurse/Others,FL,21,4
485,Nurse/Others,FL,22,4
485,Nurse/Others,FL,23,2
485,Nurse/Others,FL,24,3
751,Physician,IL,1,3
751,Physician,IL,2,6
751,Physician,IL,3,6
751,Physician,IL,4,4
751,Physician,IL,5,1
751,Physician,IL,6,1
751,Physician,IL,7,6
751,Physician,IL,8,6
751,Physician,IL,9,2
751,Physician,IL,10,5
751,Physician,IL,11,4
751,Physician,IL,12,1
751,Physician,IL,13,1
751,Physician,IL,14,6
751,Physician,IL,15,4
751,Physician,IL,16,4
751,Physician,IL,17,6
751,Physician,IL,18,2
751,Physician,IL,19,1
751,Physician,IL,20,3
751,Physician,IL,21,4
751,Physician,IL,22,3
751,Physician,IL,23,6
751,Physician,IL,24,4
133,Nurse/Others,FL,1,5
133,Nurse/Others,FL,2,2
133,Nurse/Others,FL,3,4
133,Nurse/Others,FL,4,2
133,Nurse/Others,FL,5,2
133,Nurse/Others,FL,6,4
133,Nurse/Others,FL,7,4
133,Nurse/Others,FL,8,6
133,Nurse/Others,FL,9,4
133,Nurse/Others,FL,10,6
133,Nurse/Others,FL,11,3
133,Nurse/Others,FL,12,4
133,Nurse/Others,FL,13,1
133,Nurse/Others,FL,14,4
133,Nurse/Others,FL,15,6
133,Nurse/Others,FL,16,3
133,Nurse/Others,FL,17,6
133,Nurse/Others,FL,18,4
133,Nurse/Others,FL,19,1
133,Nurse/Others,FL,20,5
133,Nurse/Others,FL,21,4
133,Nurse/Others,FL,22,4
133,Nurse/Others,FL,23,6
133,Nurse/Others,FL,24,4
634,Physician,IL,1,2
634,Physician,IL,2,4
634,Physician,IL,3,2
634,Physician,IL,4,2
634,Physician,IL,5,4
634,Physician,IL,6,3
634,Physician,IL,7,2
634,Physician,IL,8,3
634,Physician,IL,9,3
634,Physician,IL,10,3
634,Physician,IL,11,4
634,Physician,IL,12,3
634,Physician,IL,13,2
634,Physician,IL,14,3
634,Physician,IL,15,4
634,Physician,IL,16,2
634,Physician,IL,17,4
634,Physician,IL,18,4
634,Physician,IL,19,2
634,Physician,IL,20,6
634,Physician,IL,21,6
634,Physician,IL,22,3
634,Physician,IL,23,4
634,Physician,IL,24,4
704,Nurse/Others,FL,1,4
704,Nurse/Others,FL,2,5
704,Nurse/Others,FL,3,1
704,Nurse/Others,FL,4,3
704,Nurse/Others,FL,5,2
704,Nurse/Others,FL,6,6
704,Nurse/Others,FL,7,3
704,Nurse/Others,FL,8,6
704,Nurse/Others,FL,9,5
704,Nurse/Others,FL,10,4
704,Nurse/Others,FL,11,1
704,Nurse/Others,FL,12,4
704,Nurse/Others,FL,13,6
704,Nurse/Others,FL,14,5
704,Nurse/Others,FL,15,2
704,Nurse/Others,FL,16,1
704,Nurse/Others,FL,17,2
704,Nurse/Others,FL,18,4
704,Nurse/Others,FL,19,1
704,Nurse/Others,FL,20,6
704,Nurse/Others,FL,21,6
704,Nurse/Others,FL,22,5
704,Nurse/Others,FL,23,1
704,Nurse/Others,FL,24,2
58,Physician,IL,1,1
58,Physician,IL,2,3
58,Physician,IL,3,1
58,Physician,IL,4,3
58,Physician,IL,5,4
58,Physician,IL,6,6
58,Physician,IL,7,2
58,Physician,IL,8,6
58,Physician,IL,9,6
58,Physician,IL,10,6
58,Physician,IL,11,4
58,Physician,IL,12,3
58,Physician,IL,13,2
58,Physician,IL,14,5
58,Physician,IL,15,3
58,Physician,IL,16,4
58,Physician,IL,17,6
58,Physician,IL,18,4
58,Physician,IL,19,5
58,Physician,IL,20,4
58,Physician,IL,21,6
58,Physician,IL,22,6
58,Physician,IL,23,2
58,Physician,IL,24,6
381,Physician,CA,1,3
381,Physician,CA,2,3
381,Physician,CA,3,6
381,Physician,CA,4,2
381,Physician,CA,5,6
381,Physician,CA,6,3
381,Physician,CA,7,2
381,Physician,CA,8,1
381,Physician,CA,9,2
381,Physician,CA,10,1
381,Physician,CA,11,5
381,Physician,CA,12,4
381,Physician,CA,13,4
381,Physician,CA,14,5
381,Physician,CA,15,4
381,Physician,CA,16,4
381,Physician,CA,17,6
381,Physician,CA,18,6
381,Physician,CA,19,2
381,Physician,CA,20,6
381,Physician,CA,21,3
381,Physician,CA,22,2
381,Physician,CA,23,2
381,Physician,CA,24,3
345,Physician,NY,1,4
345,Physician,NY,2,6
345,Physician,NY,3,2
345,Physician,NY,4,5
345,Physician,NY,5,4
345,Physician,NY,6,3
345,Physician,NY,7,3
345,Physician,NY,8,5
345,Physician,NY,9,4
345,Physician,NY,10,4
345,Physician,NY,11,1
345,Physician,NY,12,4
345,Physician,NY,13,2
345,Physician,NY,14,5
345,Physician,NY,15,6
345,Physician,NY,16,6
345,Physician,NY,17,1
345,Physician,NY,18,1
345,Physician,NY,19,4
345,Physician,NY,20,6
345,Physician,NY,21,4
345,Physician,NY,22,5
345,Physician,NY,23,2
345,Physician,NY,24,6
932,Physician,NY,1,4
932,Physician,NY,2,5
932,Physician,NY,3,6
932,Physician,NY,4,6
932,Physician,NY,5,1
932,Physician,NY,6,1
932,Physician,NY,7,1
932,Physician,NY,8,2
932,Physician,NY,9,3
932,Physician,NY,10,6
932,Physician,NY,11,5
932,Physician,NY,12,4
932,Physician,NY,13,5
932,Physician,NY,14,1
932,Physician,NY,15,4
932,Physician,NY,16,2
932,Physician,NY,17,3
932,Physician,NY,18,6
932,Physician,NY,19,1
932,Physician,NY,20,5
932,Physician,NY,21,1
932,Physician,NY,22,1
932,Physician,NY,23,1
932,Physician,NY,24,3
435,Physician,IL,1,3
435,Physician,IL,2,3
435,Physician,IL,3,2
435,Physician,IL,4,5
435,Physician,IL,5,6
435,Physician,IL,6,2
435,Physician,IL,7,3
435,Physician,IL,8,6
435,Physician,IL,9,4
435,Physician,IL,10,4
435,Physician,IL,11,6
435,Physician,IL,12,5
435,Physician,IL,13,6
435,Physician,IL,14,3
435,Physician,IL,15,1
435,Physician,IL,16,2
435,Physician,IL,17,6
435,Physician,IL,18,4
435,Physician,IL,19,5
435,Physician,IL,20,2
435,Physician,IL,21,1
435,Physician,IL,22,4
435,Physician,IL,23,3
435,Physician,IL,24,1
278,Nurse/Others,CA,1,2
278,Nurse/Others,CA,2,4
278,Nurse/Others,CA,3,1
278,Nurse/Others,CA,4,6
278,Nurse/Others,CA,5,4
278,Nurse/Others,CA,6,3
278,Nurse/Others,CA,7,1
278,Nurse/Others,CA,8,1
278,Nurse/Others,CA,9,3
278,Nurse/Others,CA,10,2
278,Nurse/Others,CA,11,1
278,Nurse/Others,CA,12,1
278,Nurse/Others,CA,13,6
278,Nurse/Others,CA,14,6
278,Nurse/Others,CA,15,4
278,Nurse/Others,CA,16,6
278,Nurse/Others,CA,17,1
278,Nurse/Others,CA,18,6
278,Nurse/Others,CA,19,3
278,Nurse/Others,CA,20,1
278,Nurse/Others,CA,21,3
278,Nurse/Others,CA,22,2
278,Nurse/Others,CA,23,6
278,Nurse/Others,CA,24,2
231,Physician,CA,1,1
231,Physician,CA,2,1
231,Physician,CA,3,4
231,Physician,CA,4,6
231,Physician,CA,5,2
231,Physician,CA,6,4
231,Physician,CA,7,2
231,Physician,CA,8,4
231,Physician,CA,9,2
231,Physician,CA,10,5
231,Physician,CA,11,4
231,Physician,CA,12,5
231,Physician,CA,13,1
231,Physician,CA,14,2
231,Physician,CA,15,4
231,Physician,CA,16,6
231,Physician,CA,17,3
231,Physician,CA,18,2
231,Physician,CA,19,6
231,Physician,CA,20,3
231,Physician,CA,21,1
231,Physician,CA,22,5
231,Physician,CA,23,3
231,Physician,CA,24,1
123,Nurse/Others,FL,1,1
123,Nurse/Others,FL,2,3
123,Nurse/Others,FL,3,3
123,Nurse/Others,FL,4,4
123,Nurse/Others,FL,5,5
123,Nurse/Others,FL,6,6
123,Nurse/Others,FL,7,5
123,Nurse/Others,FL,8,5
123,Nurse/Others,FL,9,3
123,Nurse/Others,FL,10,1
123,Nurse/Others,FL,11,4
123,Nurse/Others,FL,12,1
123,Nurse/Others,FL,13,4
123,Nurse/Others,FL,14,6
123,Nurse/Others,FL,15,1
123,Nurse/Others,FL,16,6
123,Nurse/Others,FL,17,4
123,Nurse/Others,FL,18,2
123,Nurse/Others,FL,19,5
123,Nurse/Others,FL,20,3
123,Nurse/Others,FL,21,6
123,Nurse/Others,FL,22,2
123,Nurse/Others,FL,23,3
123,Nurse/Others,FL,24,2
233,Physician,FL,1,4
233,Physician,FL,2,4
233,Physician,FL,3,1
233,Physician,FL,4,5
233,Physician,FL,5,3
233,Physician,FL,6,5
233,Physician,FL,7,6
233,Physician,FL,8,3
233,Physician,FL,9,1
233,Physician,FL,10,5
233,Physician,FL,11,3
233,Physician,FL,12,6
233,Physician,FL,13,5
233,Physician,FL,14,2
233,Physician,FL,15,5
233,Physician,FL,16,6
233,Physician,FL,17,2
233,Physician,FL,18,4
233,Physician,FL,19,5
233,Physician,FL,20,3
233,Physician,FL,21,3
233,Physician,FL,22,6
233,Physician,FL,23,4
233,Physician,FL,24,4
803,Physician,FL,1,1
803,Physician,FL,2,1
803,Physician,FL,3,5
803,Physician,FL,4,1
803,Physician,FL,5,4
803,Physician,FL,6,6
803,Physician,FL,7,5
803,Physician,FL,8,1
803,Physician,FL,9,3
803,Physician,FL,10,1
803,Physician,FL,11,4
803,Physician,FL,12,3
803,Physician,FL,13,2
803,Physician,FL,14,6
803,Physician,FL,15,4
803,Physician,FL,16,4
803,Physician,FL,17,6
803,Physician,FL,18,2
803,Physician,FL,19,3
803,Physician,FL,20,3
803,Physician,FL,21,2
803,Physician,FL,22,1
803,Physician,FL,23,1
803,Physician,FL,24,5
178,Physician,NY,1,2
178,Physician,NY,2,5
178,Physician,NY,3,3
178,Physician,NY,4,2
178,Physician,NY,5,5
178,Physician,NY,6,1
178,Physician,NY,7,2
178,Physician,NY,8,5
178,Physician,NY,9,4
178,Physician,NY,10,1
178,Physician,NY,11,3
178,Physician,NY,12,1
178,Physician,NY,13,2
178,Physician,NY,14,2
178,Physician,NY,15,5
178,Physician,NY,16,1
178,Physician,NY,17,4
178,Physician,NY,18,1
178,Physician,NY,19,5
178,Physician,NY,20,6
178,Physician,NY,21,4
178,Physician,NY,22,4
178,Physician,NY,23,6
178,Physician,NY,24,3
571,Physician,FL,1,3
571,Physician,FL,2,6
571,Physician,FL,3,5
571,Physician,FL,4,5
571,Physician,FL,5,2
571,Physician,FL,6,1
571,Physician,FL,7,6
571,Physician,FL,8,4
571,Physician,FL,9,2
571,Physician,FL,10,6
571,Physician,FL,11,6
571,Physician,FL,12,3
571,Physician,FL,13,2
571,Physician,FL,14,2
571,Physician,FL,15,6
571,Physician,FL,16,5
571,Physician,FL,17,2
571,Physician,FL,18,1
571,Physician,FL,19,4
571,Physician,FL,20,1
571,Physician,FL,21,4
571,Physician,FL,22,1
571,Physician,FL,23,5
571,Physician,FL,24,1
609,Physician,MI,1,2
609,Physician,MI,2,5
609,Physician,MI,3,5
609,Physician,MI,4,6
609,Physician,MI,5,2
609,Physician,MI,6,6
609,Physician,MI,7,6
609,Physician,MI,8,6
609,Physician,MI,9,4
609,Physician,MI,10,4
609,Physician,MI,11,6
609,Physician,MI,12,4
609,Physician,MI,13,3
609,Physician,MI,14,2
609,Physician,MI,15,5
609,Physician,MI,16,4
609,Physician,MI,17,6
609,Physician,MI,18,6
609,Physician,MI,19,2
609,Physician,MI,20,4
609,Physician,MI,21,6
609,Physician,MI,22,4
609,Physician,MI,23,2
609,Physician,MI,24,3
216,Physician,MI,1,2
216,Physician,MI,2,6
216,Physician,MI,3,6
216,Physician,MI,4,3
216,Physician,MI,5,1
216,Physician,MI,6,6
216,Physician,MI,7,2
216,Physician,MI,8,3
216,Physician,MI,9,3
216,Physician,MI,10,1
216,Physician,MI,11,5
216,Physician,MI,12,1
216,Physician,MI,13,2
216,Physician,MI,14,4
216,Physician,MI,15,4
216,Physician,MI,16,5
216,Physician,MI,17,3
216,Physician,MI,18,6
216,Physician,MI,19,5
216,Physician,MI,20,4
216,Physician,MI,21,2
216,Physician,MI,22,5
216,Physician,MI,23,3
216,Physician,MI,24,4
222,Nurse/Others,NY,1,5
222,Nurse/Others,NY,2,5
222,Nurse/Others,NY,3,5
222,Nurse/Others,NY,4,5
222,Nurse/Others,NY,5,2
222,Nurse/Others,NY,6,4
222,Nurse/Others,NY,7,3
222,Nurse/Others,NY,8,2
222,Nurse/Others,NY,9,4
222,Nurse/Others,NY,10,5
222,Nurse/Others,NY,11,3
222,Nurse/Others,NY,12,4
222,Nurse/Others,NY,13,3
222,Nurse/Others,NY,14,3
222,Nurse/Others,NY,15,3
222,Nurse/Others,NY,16,5
222,Nurse/Others,NY,17,6
222,Nurse/Others,NY,18,3
222,Nurse/Others,NY,19,2
222,Nurse/Others,NY,20,4
222,Nurse/Others,NY,21,6
222,Nurse/Others,NY,22,1
222,Nurse/Others,NY,23,6
222,Nurse/Others,NY,24,5
822,Physician,FL,1,4
822,Physician,FL,2,5
822,Physician,FL,3,6
822,Physician,FL,4,4
822,Physician,FL,5,5
822,Physician,FL,6,2
